company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_002130_09981,沃尔核材,002130,09981,SZ,002130.SZ,09981.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300347_03347,泰格医药,300347,03347,SZ,300347.SZ,03347.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603993_03993,洛阳钼业,603993,03993,SH,603993.SS,03993.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601916_02016,浙商银行,601916,02016,SH,601916.SS,02016.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002703_01057,浙江世宝,002703,01057,SZ,002703.SZ,01057.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000921_00921,海信家电,000921,00921,SZ,000921.SZ,00921.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603288_03288,海天味业,603288,03288,SH,603288.SS,03288.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600690_06690,海尔智家,600690,06690,SH,600690.SS,06690.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002399_09989,海普瑞,002399,09989,SZ,002399.SZ,09989.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600585_00914,海螺水泥,600585,00914,SH,600585.SS,00914.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600548_00548,深高速,600548,00548,SH,600548.SS,00548.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601077_03618,渝农商行,601077,03618,SH,601077.SS,03618.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601678_06745,滨化股份,601678,06745,SH,601678.SS,06745.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000338_02338,潍柴动力,000338,02338,SZ,000338.SZ,02338.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688008_06809,澜起科技,688008,06809,SH,688008.SS,06809.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002714_02714,牧原股份,002714,02714,SZ,002714.SZ,02714.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000166_06806,申万宏源,000166,06806,SZ,000166.SZ,06806.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600332_00874,白云山,600332,00874,SH,600332.SS,00874.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688796_02315,百奥赛图,688796,02315,SH,688796.SS,02315.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
